N;eps;eps_over_h4
10;0.000444364440942518;4.44364440942518
20;0.000112585260611738;18.0136416978781
30;5.02788497459936e-05;40.7258682942548
40;2.83517615228391e-05;72.5805094984681
50;1.81718351775751e-05;113.573969859844
60;1.26314119440706e-05;163.703098795155
70;9.28657944989819e-06;222.970772592056
80;7.11382927853635e-06;291.382447248849
90;5.62298857166064e-06;368.924280186655
100;4.55614091537715e-06;455.614091537715
120;3.16550773074756e-06;656.399683047814
140;2.32647568943868e-06;893.738900854761
160;1.78166302303358e-06;1167.63067877529
200;1.14067017320277e-06;1825.07227712443
250;7.3023769840608e-07;2852.49100939875
300;5.07204665918564e-07;4108.35779394037
400;2.85369010309044e-07;7305.44666391153
500;1.82661331407307e-07;11416.3332129567
700;9.32086968632965e-08;22379.4081168775
1000;4.56770624787094e-08;45677.0624787094
