Ye;log10_rc;M_over_Msun;R_over_Rsun
0.464286;-3;0.0185101;0.0395936
0.464286;-2;0.057908;0.0282384
0.464286;-1;0.172037;0.0193099
0.464286;0;0.434707;0.0128647
0.464286;1;0.798025;0.00820208
0.464286;2;1.06701;0.00790326
0.464286;3;1.18832;0.00834118
0.464286;4;1.2275;0.00848029
0.464286;5;1.23775;0.00851635
0.464286;6;1.24015;0.00852151
0.5;-3;0.0214673;0.0426392
0.5;-2;0.0671595;0.0304106
0.5;-1;0.199522;0.0207953
0.5;0;0.504158;0.0138543
0.5;1;0.92552;0.00883301
0.5;2;1.23748;0.0085112
0.5;3;1.37817;0.00898281
0.5;4;1.42361;0.00913262
0.5;5;1.4355;0.00917146
0.5;6;1.43828;0.00917701
